id|name|meal_type|category|cuisine_or_cultural_region|kcal_per_serving|dietary_tags
shakshuka|Shakshuka|breakfast|Egg dishes|North African|420|vegetarian
menemen|Menemen|breakfast|Egg dishes|Turkish|390|vegetarian
masala-omelette|Masala Omelette|breakfast|Egg dishes|Indian|360|vegetarian,high-protein
congee-with-egg|Congee with Egg|breakfast|Rice porridge|Chinese|330|balanced
ful-medames|Ful Medames|breakfast|Legume dishes|Egyptian|430|vegan,high-fiber
arepas-with-black-beans|Arepas with Black Beans|breakfast|Griddle breads|Venezuelan|510|vegetarian
gallo-pinto|Gallo Pinto|breakfast|Rice and beans|Costa Rican|470|vegan
chilaquiles-verdes|Chilaquiles Verdes|breakfast|Corn dishes|Mexican|520|vegetarian
greek-yogurt-walnut-bowl|Greek Yogurt Walnut Bowl|breakfast|Yogurt bowls|Greek|410|vegetarian,high-protein
overnight-oats-with-apple|Overnight Oats with Apple|breakfast|Oat dishes|European|390|vegetarian,high-fiber
aloo-paratha-with-yogurt|Aloo Paratha with Yogurt|breakfast|Flatbreads|Pakistani|560|vegetarian
idli-with-sambar|Idli with Sambar|breakfast|Steamed breads|South Indian|430|vegan,gluten-free
miso-soup-breakfast-set|Miso Soup Breakfast Set|breakfast|Soup breakfast|Japanese|360|pescatarian
avocado-toast-with-poached-egg|Avocado Toast with Poached Egg|breakfast|Toast|Contemporary|450|vegetarian,high-protein
kasha-with-mushrooms|Kasha with Mushrooms|breakfast|Grain dishes|Eastern European|400|vegan
hummus-and-vegetable-pita|Hummus and Vegetable Pita|breakfast|Sandwiches|Levantine|440|vegan
akara-with-tomato-relish|Akara with Tomato Relish|breakfast|Bean fritters|West African|480|vegan,gluten-free
savoury-millet-porridge|Savoury Millet Porridge|breakfast|Porridge|East African|370|vegan,gluten-free
banana-peanut-porridge|Banana Peanut Porridge|breakfast|Porridge|Caribbean|420|vegan
tortilla-espanola|Tortilla Española|breakfast|Egg dishes|Spanish|520|vegetarian
lentil-soup-with-lemon|Lentil Soup with Lemon|lunch|Soups|Turkish|480|vegan,high-fiber
harira|Harira|lunch|Soups|Moroccan|540|balanced
minestrone|Minestrone|lunch|Soups|Italian|430|vegan,high-fiber
tom-yum-goong|Tom Yum Goong|lunch|Soups|Thai|390|pescatarian,gluten-free
pho-ga|Pho Ga|lunch|Noodle soups|Vietnamese|520|high-protein
chicken-noodle-soup|Chicken Noodle Soup|lunch|Soups|Jewish-American|470|high-protein
borscht|Borscht|lunch|Soups|Ukrainian|420|vegetarian
caldo-verde|Caldo Verde|lunch|Soups|Portuguese|510|balanced
mercimek-koftesi|Mercimek Köftesi|lunch|Legume patties|Turkish|460|vegan
falafel-bowl|Falafel Bowl|lunch|Bowls|Levantine|590|vegan
tabbouleh-with-chickpeas|Tabbouleh with Chickpeas|lunch|Salads|Levantine|450|vegan
greek-village-salad-with-beans|Greek Village Salad with Beans|lunch|Salads|Greek|480|vegetarian,gluten-free
nicoise-salad|Niçoise Salad|lunch|Salads|French|560|pescatarian,gluten-free
cobb-salad|Cobb Salad|lunch|Salads|American|620|high-protein,gluten-free
som-tam-with-grilled-tofu|Som Tam with Grilled Tofu|lunch|Salads|Thai|430|vegan,gluten-free
gado-gado|Gado-Gado|lunch|Salads|Indonesian|570|vegetarian,gluten-free
korean-bibim-guksu|Korean Bibim Guksu|lunch|Noodle salads|Korean|500|vegetarian
soba-noodle-salad|Soba Noodle Salad|lunch|Noodle salads|Japanese|470|vegan
banh-mi-tofu|Bánh Mì Tofu|lunch|Sandwiches|Vietnamese|540|vegan
